vehicle_id,fuel_type,rpm,fuel_consumption,throttle_position,fuel_pressure,coolant_temp,torque,spark_timing,speed,engine_load,intake_temp,battery_voltage,power,intake_pressure,vehicle_age,battery_age,battery_health,harsh_braking_count,sudden_acceleration_count,idle_time,days_since_last_service,distance_since_last_service,oil_change_count,brake_change_count,repairs_last_year,accident_history,temperature,humidity,traffic_index,road_quality,terrain_type,aqi,driver_score,engine_stress_score,service_health_score,service_required,vehicle_weight,rpm_variance_score,overheating_risk,aggressive_driving_index,daily_distance,fuel_efficiency,battery_service_required,brake_service_required,oil_change_required,engine_service_required,remaining_service_km,service_status,vehicle_model,engine_displacement_l,cylinder_count,transmission_type,drive_type,vehicle_class,city_mpg,highway_mpg,combined_mpg,air_pollution_score,greenhouse_gas_score,co2_emissions,rainfall_mm,weather_location,weather_severity,wet_road,health_label,days_until_service
VH00011,petrol,1390.0,3.24,22.9,49.3,87.7,137.9,9.8,49.0,29.9,41.3,14.38,18.7,99.6,4,14,100.0,0,1,8.1,1,706,3,1,0,0,28.5,71.0,0.68,0.47,City,193,91.8,0.281,0.975,0,986,0.167,0.068,0.178,46.7,4.22,0,0,0,0,4970,Healthy,Hyundai i20,1.2,4,Manual,FWD,Hatchback,36.3,39.6,37.8,10,8,141.5,3.3,Kolkata,Clear,1,Healthy,
VH00012,petrol,1906.0,5.08,28.7,53.7,88.3,115.5,11.8,47.8,57.5,50.0,14.02,18.6,99.9,0,25,75.5,5,4,22.2,92,4139,3,3,1,0,30.1,54.0,0.4,0.92,Highway,229,91.5,0.325,0.688,0,1234,0.272,0.002,0.173,71.7,4.0,0,0,0,0,3589,Monitor,Tata Nexon,1.2,4,Manual,FWD,SUV,27.2,36.3,31.3,9,9,160.6,8.9,Delhi,Moderate,1,Monitor,
VH00013,petrol,1935.0,6.23,49.4,48.7,96.2,148.2,7.6,31.8,73.7,50.5,12.0,28.6,90.8,0,51,46.6,18,11,43.4,187,6463,9,4,2,0,29.6,55.4,0.78,0.55,Mixed,241,59.3,0.662,0.483,1,1146,0.575,0.334,0.419,52.2,4.0,1,1,1,1,1363,Service Soon (20d),Maruti Brezza,1.5,4,Automatic,FWD,SUV,30.0,36.0,32.7,6,7,170.8,1.5,Delhi,Clear,0,Service Soon,20.0
VH00014,petrol,1551.0,5.07,19.6,50.4,90.1,111.9,14.1,52.2,41.2,44.0,13.79,15.0,103.1,2,6,86.3,0,0,11.1,13,588,4,0,0,0,25.6,68.4,0.57,0.75,Mixed,117,96.8,0.229,0.794,0,1279,0.091,0.15,0.058,33.9,4.0,0,0,0,0,6512,Healthy,Tata Nexon,1.2,4,Manual,FWD,SUV,27.3,38.1,32.2,9,9,159.5,3.7,Hyderabad,Clear,1,Healthy,
VH00015,petrol,3338.0,9.12,71.5,50.5,127.1,144.6,3.1,75.8,84.5,64.3,11.26,49.8,83.6,2,75,30.8,28,30,33.2,267,9583,12,10,5,2,33.3,78.2,0.41,0.86,Highway,123,30.3,0.73,0.178,1,1389,0.643,1.0,0.767,94.7,4.0,1,1,0,1,63,Critical,Hyundai Creta,1.5,4,Automatic,FWD,SUV,24.0,32.5,27.8,7,8,183.0,22.4,Chennai,Severe,1,Critical,
VH00016,petrol,1443.0,4.44,20.7,47.9,88.4,137.0,12.7,44.4,24.7,42.4,14.05,22.5,97.8,8,19,97.4,0,2,11.7,19,955,2,0,0,0,31.6,73.4,0.26,0.97,Highway,119,98.5,0.317,0.944,0,992,0.245,0.051,0.076,44.6,4.0,0,0,0,0,6699,Healthy,Hyundai i20,1.2,4,Manual,FWD,Hatchback,32.3,42.5,36.9,9,9,140.2,9.7,Mumbai,Moderate,1,Healthy,
VH00017,petrol,2250.0,8.82,58.4,49.7,113.8,146.7,2.5,66.7,68.3,48.0,12.53,39.2,95.9,2,58,54.3,12,8,30.6,107,7533,7,5,2,1,39.9,98.0,0.03,0.21,Off-road,97,63.0,0.657,0.268,1,1179,0.601,0.837,0.572,72.5,4.0,1,1,1,1,1564,Service Soon (13d),Maruti Brezza,1.5,4,Automatic,FWD,SUV,25.7,37.7,31.1,6,8,167.4,0.6,Chennai,Clear,0,Service Soon,13.0
VH00018,petrol,2336.0,8.62,47.7,53.0,108.7,116.2,10.6,70.8,76.6,53.9,12.35,33.2,94.4,1,56,46.4,17,9,29.1,177,7416,11,6,3,2,16.5,96.3,0.38,0.12,Off-road,85,57.3,0.791,0.415,1,1002,0.658,0.551,0.594,65.8,4.0,0,1,1,1,1163,Service Soon (28d),Hyundai i20,1.2,4,Manual,FWD,Hatchback,32.7,36.9,34.6,6,7,150.4,10.4,Mumbai,Moderate,1,Service Soon,28.0
VH00019,petrol,1700.0,5.68,34.0,53.6,98.7,113.7,7.0,46.6,64.1,51.5,12.87,20.4,102.1,1,24,70.4,4,4,16.0,51,3455,6,3,2,0,29.3,42.6,0.45,0.95,Highway,195,86.3,0.453,0.55,0,973,0.348,0.315,0.226,41.5,4.0,0,0,0,0,4064,Monitor,Hyundai i20,1.2,4,Manual,FWD,Hatchback,30.0,40.8,34.9,8,8,143.0,1.8,Delhi,Clear,0,Monitor,
VH00020,diesel,1073.0,3.41,17.4,283.1,84.1,320.0,11.7,41.9,37.2,47.9,13.98,45.2,101.1,2,5,98.2,0,0,12.4,7,2964,4,0,0,0,35.4,80.7,0.76,0.57,City,224,100.0,0.166,0.772,0,2075,0.089,0.02,0.069,25.1,4.0,0,0,0,0,7541,Healthy,Mahindra Scorpio,2.2,4,Manual,4WD,SUV,17.8,25.9,21.4,10,10,199.4,1.8,Kolkata,Clear,0,Healthy,
VH00021,petrol,2197.0,13.67,76.9,42.6,124.4,118.4,9.0,50.0,85.3,53.3,11.59,25.2,76.9,1,70,43.3,23,37,51.7,309,9571,12,7,5,2,21.0,54.8,0.7,0.71,City,161,37.5,0.709,0.095,1,984,0.599,0.975,0.69,80.3,4.0,1,1,1,1,47,Critical,Hyundai i20,1.2,4,Manual,FWD,Hatchback,31.0,39.2,34.7,7,8,151.1,5.6,Delhi,Moderate,1,Critical,
VH00022,petrol,2611.0,11.9,89.3,46.7,122.9,103.3,2.3,58.2,85.7,66.1,11.68,28.1,92.5,3,78,28.8,16,40,40.8,386,9282,14,9,8,2,23.6,52.3,0.44,0.79,Highway,215,32.0,0.935,0.051,1,934,0.875,0.942,0.789,82.0,4.0,1,1,1,1,49,Critical,Maruti Swift,1.2,4,Manual,FWD,Hatchback,29.7,40.3,34.5,6,6,146.6,3.1,Delhi,Clear,1,Critical,
VH00023,petrol,2252.0,4.57,45.7,54.3,99.0,110.1,5.4,28.7,45.8,50.6,13.35,17.6,98.0,2,34,69.5,4,7,19.3,96,3470,8,1,1,0,30.9,77.5,0.51,0.81,Highway,99,80.1,0.315,0.719,0,1235,0.317,0.396,0.339,51.5,4.0,0,0,0,0,2519,Monitor,Tata Nexon,1.2,4,Manual,FWD,SUV,25.0,37.3,30.5,9,9,154.6,8.0,Chennai,Moderate,1,Monitor,
VH00024,petrol,2175.0,11.0,56.2,52.3,106.4,113.4,8.4,58.6,74.6,46.2,12.87,24.5,89.6,1,37,55.0,6,15,35.6,138,9169,7,4,3,1,23.3,66.1,0.59,0.51,City,51,67.3,0.665,0.355,1,895,0.582,0.524,0.469,38.6,4.0,1,0,1,0,376,Service Soon (23d),Maruti Swift,1.2,4,Manual,FWD,Hatchback,34.5,40.3,37.1,7,7,137.4,15.7,Bangalore,Moderate,1,Service Soon,23.0
VH00025,petrol,2008.0,5.43,48.7,47.7,104.8,113.0,11.5,36.9,44.7,45.6,13.32,16.7,100.5,0,38,85.6,3,3,18.8,77,3625,5,3,2,0,22.8,63.2,0.58,0.57,Mixed,202,85.7,0.35,0.801,0,959,0.222,0.525,0.329,64.9,4.0,0,0,0,0,3029,Monitor,Maruti Swift,1.2,4,Manual,FWD,Hatchback,35.8,42.5,38.8,8,9,119.1,2.4,Delhi,Clear,1,Monitor,
VH00026,diesel,1092.0,4.9,24.6,292.4,84.3,320.0,14.6,44.0,24.4,44.2,13.92,49.8,107.2,0,6,84.0,2,2,5.0,59,1398,4,0,0,0,28.5,61.0,0.68,0.62,City,36,90.0,0.081,0.93,0,2091,0.158,0.0,0.159,51.8,4.0,0,0,0,0,5132,Healthy,Mahindra Scorpio,2.2,4,Manual,4WD,SUV,20.6,28.3,24.1,9,10,187.3,45.2,Bangalore,Severe,1,Healthy,
VH00027,petrol,1458.0,2.4,21.1,52.9,83.8,118.0,13.7,52.9,44.5,41.0,13.69,14.0,102.6,2,12,99.3,0,0,7.8,11,583,1,0,0,0,33.8,61.0,0.2,0.86,Highway,88,97.5,0.181,0.816,0,1031,0.033,0.011,0.072,22.5,5.6,0,0,0,0,4955,Healthy,Tata Altroz,1.2,4,Manual,FWD,Hatchback,33.0,40.4,36.3,9,9,141.0,7.5,Hyderabad,Moderate,1,Healthy,
VH00028,petrol,2299.0,5.9,57.8,46.3,105.9,141.2,8.3,46.4,69.8,52.2,12.72,34.4,91.6,3,53,57.8,15,8,33.7,194,9046,9,3,2,1,21.0,75.7,0.31,0.63,Highway,157,59.8,0.672,0.353,1,1189,0.555,0.491,0.575,76.4,4.0,1,1,1,1,325,Service Soon (20d),Maruti Brezza,1.5,4,Automatic,FWD,SUV,25.2,35.9,30.0,6,7,166.5,10.4,Kolkata,Moderate,1,Service Soon,20.0
VH00029,diesel,1584.0,6.07,30.7,281.1,90.3,320.0,12.4,54.5,60.8,44.3,13.51,61.2,100.2,3,21,82.6,6,7,11.3,72,2898,5,1,1,1,23.8,47.8,0.58,0.55,Mixed,94,78.7,0.438,0.675,0,2139,0.318,0.09,0.322,41.7,4.0,0,0,0,0,3446,Monitor,Mahindra XUV700,2.2,4,Automatic,AWD,SUV,20.4,27.2,23.5,8,9,237.6,2.3,Pune,Clear,1,Monitor,
VH00030,petrol,1469.0,3.61,13.8,54.8,86.3,134.6,15.8,25.9,40.6,40.6,13.73,23.3,102.0,2,19,92.2,1,0,10.1,27,1011,4,0,0,0,25.7,66.4,0.55,0.52,City,181,87.0,0.101,0.852,0,905,0.115,0.0,0.107,41.7,4.41,0,0,0,0,4552,Healthy,Maruti Swift,1.2,4,Manual,FWD,Hatchback,42.2,46.4,44.1,10,10,115.4,22.2,Kolkata,Severe,1,Healthy,
VH00031,petrol,2568.0,13.99,69.9,45.6,122.0,115.5,7.8,57.2,90.8,56.1,11.92,30.5,97.7,1,87,35.8,27,17,63.4,215,14147,19,11,9,1,14.8,78.1,0.5,0.58,Mixed,84,33.0,0.893,0.211,1,984,0.843,0.978,0.935,74.4,4.0,1,1,1,1,148,Critical,Hyundai i20,1.2,4,Manual,FWD,Hatchback,27.6,40.9,33.6,6,6,166.2,5.5,Mumbai,Moderate,1,Critical,
VH00032,petrol,1416.0,3.49,12.4,49.9,85.1,124.0,14.8,35.2,23.9,44.2,13.96,16.8,99.6,1,7,85.3,2,1,16.3,27,1994,1,0,0,0,36.4,59.1,0.55,0.6,Mixed,83,96.1,0.279,0.952,1,994,0.245,0.037,0.198,48.6,4.0,0,1,0,0,4990,Healthy,Tata Altroz,1.2,4,Manual,FWD,Hatchback,30.6,44.4,36.8,8,9,154.3,9.5,Hyderabad,Moderate,1,Healthy,
VH00033,petrol,1092.0,5.04,17.7,50.7,88.0,125.1,11.6,49.6,30.6,36.1,13.84,10.0,101.3,1,12,94.0,0,0,17.3,26,1105,1,1,0,0,25.6,63.7,0.64,0.56,City,135,90.0,0.322,0.844,0,1234,0.128,0.108,0.196,22.8,4.0,0,0,0,0,6871,Healthy,Tata Nexon,1.2,4,Manual,FWD,SUV,26.0,39.2,31.9,9,9,156.1,3.5,Hyderabad,Clear,1,Healthy,
VH00034,petrol,1044.0,3.64,30.4,50.1,85.5,146.2,19.4,37.4,30.7,41.2,14.19,26.8,103.5,1,9,82.6,2,1,11.4,8,976,2,0,0,0,31.4,62.8,0.59,0.59,City,197,97.3,0.247,0.939,0,1463,0.166,0.0,0.044,40.7,4.0,0,0,0,0,4509,Healthy,Hyundai Creta,1.5,4,Automatic,FWD,SUV,25.7,32.8,28.9,9,9,160.5,6.6,Kolkata,Moderate,1,Healthy,
VH00035,petrol,2412.0,10.48,57.8,49.6,100.5,123.4,8.8,40.9,65.3,55.0,12.35,23.3,91.8,8,53,64.1,13,13,26.4,168,9462,12,5,4,0,22.8,61.2,0.31,0.95,Highway,238,60.6,0.615,0.36,1,951,0.478,0.362,0.534,53.5,4.0,1,0,1,0,1673,Service Soon (26d),Hyundai i20,1.2,4,Manual,FWD,Hatchback,34.9,37.7,36.2,8,7,143.1,21.5,Delhi,Severe,1,Service Soon,26.0
VH00036,petrol,1577.0,4.72,16.0,54.9,86.1,112.9,13.4,47.8,26.4,44.5,14.02,13.7,103.8,3,7,94.9,0,2,4.4,46,1503,3,1,0,0,30.9,59.5,0.26,0.77,Highway,128,98.1,0.274,0.793,0,1276,0.236,0.059,0.045,42.5,4.0,0,0,0,0,5959,Healthy,Tata Nexon,1.2,4,Manual,FWD,SUV,26.0,38.3,31.5,9,9,160.2,0.6,Hyderabad,Clear,0,Healthy,
VH00037,petrol,1497.0,6.26,27.8,49.7,89.4,124.1,15.6,29.0,18.4,39.8,13.94,18.7,101.2,0,16,95.6,0,1,15.4,32,2928,1,0,0,0,33.4,58.7,0.14,0.29,Off-road,115,93.5,0.299,0.962,0,1254,0.158,0.019,0.0,34.2,4.0,0,0,0,0,5736,Healthy,Tata Nexon,1.2,4,Manual,FWD,SUV,29.1,39.2,33.6,7,9,162.8,1.8,Pune,Clear,0,Healthy,
VH00038,petrol,1265.0,4.57,9.8,52.8,86.5,183.1,16.5,29.1,28.8,47.8,14.02,12.2,99.1,3,8,85.5,1,1,19.6,56,1621,1,0,0,0,23.4,62.0,0.3,0.77,Highway,78,97.1,0.324,0.997,1,1103,0.128,0.123,0.047,40.4,4.0,0,0,0,1,6883,Healthy,Maruti Brezza,1.5,4,Automatic,FWD,SUV,30.2,39.8,34.5,9,9,153.1,14.1,Hyderabad,Moderate,1,Healthy,
VH00039,petrol,1413.0,4.89,17.5,55.3,93.7,133.8,12.3,55.1,22.0,37.0,13.61,14.9,103.6,5,1,90.9,0,3,13.2,43,394,4,0,0,0,32.8,79.1,0.87,0.57,City,114,93.1,0.303,0.939,0,1268,0.179,0.255,0.113,31.7,4.0,0,0,0,0,7778,Healthy,Tata Nexon,1.2,4,Manual,FWD,SUV,29.6,33.3,31.3,8,9,149.7,17.1,Chennai,Moderate,1,Healthy,
VH00040,petrol,1365.0,5.01,15.9,46.8,87.1,128.0,16.0,50.9,33.2,39.2,14.01,18.4,100.7,2,19,90.6,1,0,14.1,10,1645,3,1,0,0,21.8,57.8,0.7,0.59,City,96,91.7,0.098,0.969,0,1236,0.024,0.131,0.086,38.2,4.0,0,0,0,0,5493,Healthy,Tata Nexon,1.2,4,Manual,FWD,SUV,32.2,36.1,34.0,10,10,156.6,1.1,Bangalore,Clear,0,Healthy,
VH00041,diesel,1809.0,6.21,35.7,260.2,91.4,320.0,13.0,49.3,50.8,54.0,13.43,66.1,98.3,3,19,77.9,6,7,19.6,59,5475,7,3,1,1,32.1,54.0,0.71,0.55,Mixed,80,84.1,0.509,0.545,0,1997,0.377,0.097,0.186,36.5,4.0,0,0,0,0,2063,Monitor,Mahindra Scorpio,2.2,4,Manual,4WD,SUV,18.0,26.9,22.0,7,7,225.5,3.5,Pune,Clear,1,Monitor,
VH00042,petrol,1651.0,2.59,31.0,50.0,91.3,139.4,14.6,42.4,28.8,41.1,13.68,26.2,101.1,4,2,96.6,1,1,10.4,33,719,4,0,0,0,21.5,63.9,0.35,0.94,Highway,72,95.4,0.242,0.933,0,1201,0.201,0.211,0.152,30.4,4.2,0,0,0,0,4905,Healthy,Maruti Brezza,1.5,4,Automatic,FWD,SUV,31.4,39.1,34.9,8,9,145.7,8.7,Bangalore,Moderate,1,Healthy,
VH00043,petrol,1542.0,7.01,45.0,46.7,101.4,128.8,14.7,41.5,46.4,48.6,13.32,13.3,94.2,2,35,72.4,5,3,30.0,103,4235,3,3,1,0,21.2,75.6,0.66,0.48,City,126,86.1,0.506,0.666,0,1017,0.265,0.494,0.219,42.7,4.0,0,0,0,0,2756,Monitor,Hyundai i20,1.2,4,Manual,FWD,Hatchback,31.5,36.6,33.8,7,8,159.0,4.0,Mumbai,Clear,1,Monitor,
VH00044,diesel,1323.0,5.81,40.1,271.5,89.5,320.0,9.3,72.9,48.6,49.1,13.17,50.3,96.5,9,22,67.7,8,3,27.4,96,2970,5,2,1,1,26.5,87.4,0.82,0.51,City,92,75.8,0.32,0.751,0,2059,0.322,0.175,0.374,47.1,4.0,0,0,0,0,3487,Monitor,Mahindra Scorpio,2.2,4,Manual,4WD,SUV,22.5,28.6,25.2,9,9,219.8,5.0,Chennai,Clear,1,Monitor,
VH00045,petrol,2188.0,9.74,64.0,49.3,110.5,117.8,8.5,76.2,66.6,48.3,11.88,28.3,97.5,5,50,62.1,18,7,33.6,118,7439,10,6,2,0,21.7,52.7,0.13,0.19,Off-road,91,65.6,0.625,0.373,1,903,0.441,0.664,0.462,67.5,4.0,1,1,1,1,321,Service Soon (5d),Maruti Swift,1.2,4,Manual,FWD,Hatchback,30.2,42.5,35.7,7,8,142.1,2.8,Pune,Clear,1,Service Soon,5.0
VH00046,petrol,1337.0,5.31,28.0,54.6,85.2,132.9,7.6,51.6,33.8,37.0,14.03,15.7,100.6,0,9,94.5,2,2,10.5,54,2686,1,1,0,0,21.8,75.5,0.05,0.14,Off-road,91,99.7,0.159,0.973,0,1013,0.059,0.0,0.055,29.4,4.0,0,0,0,0,6460,Healthy,Hyundai i20,1.2,4,Manual,FWD,Hatchback,37.9,43.1,40.2,9,9,116.7,6.8,Pune,Moderate,1,Healthy,
VH00047,petrol,1302.0,4.13,26.3,52.1,87.4,124.8,14.8,36.3,42.8,39.2,14.35,23.7,99.0,0,3,87.8,1,2,14.2,41,2696,3,0,0,0,27.6,67.7,0.57,0.5,City,122,93.0,0.11,0.866,0,982,0.085,0.161,0.014,35.5,4.18,0,0,0,0,5117,Healthy,Maruti Swift,1.2,4,Manual,FWD,Hatchback,36.1,46.4,40.7,9,10,110.6,3.4,Pune,Clear,1,Healthy,
VH00048,petrol,1370.0,3.94,18.1,53.3,86.0,148.2,13.4,56.8,33.8,33.1,13.75,21.5,102.9,0,3,87.7,1,1,11.4,44,163,2,1,0,0,20.6,70.3,0.72,0.57,City,178,90.1,0.065,0.898,0,1195,0.117,0.067,0.034,48.2,4.0,0,0,0,0,4647,Healthy,Maruti Brezza,1.5,4,Automatic,FWD,SUV,30.8,37.1,33.6,9,10,146.9,4.2,Delhi,Clear,1,Healthy,
VH00049,petrol,2406.0,12.8,72.5,44.7,117.0,130.3,8.4,35.0,86.3,53.6,12.32,36.2,83.2,2,65,44.0,29,36,60.5,190,11713,17,7,6,3,32.6,78.6,0.29,0.31,Off-road,133,28.2,0.855,0.202,1,1480,0.76,0.813,0.875,84.0,4.0,1,1,1,1,41,Critical,Hyundai Creta,1.5,4,Automatic,FWD,SUV,22.9,33.0,27.4,5,7,187.7,4.4,Chennai,Clear,1,Critical,
VH00050,petrol,1507.0,5.68,46.4,50.5,95.6,138.4,12.8,37.3,53.4,35.4,13.56,22.5,101.1,2,31,69.3,7,6,24.7,78,5075,5,3,1,1,17.0,66.9,0.75,0.52,City,189,78.3,0.381,0.736,0,1065,0.29,0.3,0.328,48.1,4.0,0,0,0,0,2058,Monitor,Tata Altroz,1.2,4,Manual,FWD,Hatchback,30.6,45.1,37.1,9,8,148.4,6.0,Delhi,Moderate,1,Monitor,
VH00051,petrol,1311.0,4.32,19.3,50.4,89.7,164.6,12.8,37.8,22.5,43.3,13.74,18.1,103.1,0,18,89.1,3,3,19.5,47,2056,1,0,0,0,34.5,84.5,0.49,0.76,Highway,125,92.8,0.072,0.756,1,1243,0.075,0.064,0.0,52.4,4.0,0,0,1,0,6881,Healthy,Maruti Brezza,1.5,4,Automatic,FWD,SUV,31.7,37.3,34.2,9,9,135.1,9.4,Chennai,Moderate,1,Healthy,
VH00052,petrol,1259.0,6.08,16.9,49.3,82.7,122.1,18.2,32.0,37.4,35.2,14.26,10.0,99.4,4,6,85.8,3,1,13.7,17,1326,3,1,0,0,34.4,42.3,0.74,0.35,City,113,88.0,0.164,0.847,0,1245,0.133,0.026,0.077,50.3,4.0,0,0,0,0,5179,Healthy,Tata Nexon,1.2,4,Manual,FWD,SUV,27.0,38.7,32.3,9,9,148.2,17.0,Hyderabad,Moderate,1,Healthy,
VH00053,petrol,1464.0,3.97,21.3,54.3,98.2,121.7,14.4,22.3,38.1,35.6,13.7,20.4,101.4,0,2,88.1,2,3,11.9,36,1097,4,0,0,0,29.4,67.7,0.83,0.48,City,103,99.4,0.273,1.0,0,957,0.148,0.305,0.045,23.8,4.0,0,0,0,0,4572,Healthy,Hyundai i20,1.2,4,Manual,FWD,Hatchback,37.3,42.3,39.5,9,9,139.4,6.1,Mumbai,Moderate,1,Healthy,
VH00054,petrol,1556.0,4.18,24.4,58.9,90.7,123.5,14.9,37.0,19.1,44.4,13.9,22.6,102.6,2,7,84.3,2,0,19.6,22,1146,2,0,0,0,27.9,57.1,0.42,0.83,Highway,87,97.1,0.281,0.846,0,1293,0.28,0.123,0.102,33.1,4.0,0,0,0,0,5342,Healthy,Tata Nexon,1.2,4,Manual,FWD,SUV,27.7,38.4,32.5,8,9,165.8,3.3,Bangalore,Clear,1,Healthy,
VH00055,petrol,1255.0,4.94,7.4,58.1,83.2,124.2,11.3,45.9,22.1,45.1,13.66,12.1,101.0,2,17,90.8,2,2,15.3,32,2331,1,0,0,0,36.0,79.0,0.56,0.54,City,94,95.9,0.054,0.845,1,894,0.062,0.0,0.0,33.9,4.0,0,1,0,0,6653,Healthy,Maruti Swift,1.2,4,Manual,FWD,Hatchback,34.1,46.0,39.5,10,10,124.9,2.7,Chennai,Clear,1,Healthy,
